Smile-1,Smile-2,Average log BB (in vivo values),TPSA,logP(o/w),a_acid+a_base
FCCCn1ccnc1[N+](=O)[O-],[O-][N+](=O)C1=NC=C[N]1CCCF,-0.24,63.64,0.891,0
FCCCCCCCCn1ccnc1[N+](=O)[O-],[O-][N+](=O)C1=NC=C[N]1CCCCCCCCF,-0.17,63.64,3.101,0
N1CCCc2c1cccc2,C1CNC2=C(C1)C=CC=C2,0.65,12.03,1.901,0
F[C@H]1C[C@@H]2[C@H]3[C@@H](CC[C@]2(C)[C@H]1O)c1c(cc(O)cc1)CC3,CC12CCC3C(CCC4=CC(=CC=C34)O)C1CC(F)C2O,-0.301,40.46,3.645,0
Ic1ccc(N2CC[NH+](CC2)CCCCCC)cc1,CCCCCC[NH+]1CCN(CC1)C2=CC=C(I)C=C2,1.01,7.68,4.817,1
Clc1cc2c(-n3c(CN=C2c2ccccc2F)cnc3CO)cc1,OCC1=NC=C2CN=C(C3=CC=CC=C3F)C4=CC(=CC=C4[N]12)Cl,-0.07,50.41,3.322,0
Ic1ccc(N2CC[NH+](CC2)[C@@H](CC)C)cc1,CCC(C)[NH+]1CCN(CC1)C2=CC=C(I)C=C2,1.38,7.68,3.953,1
O1[C@@H](CO)[C@H](C[C@@H]1N1C=CC(=NC1=O)N)CO,NC1=NC(=O)N(C=C1)C2CC(CO)C(CO)O2,-0.79,108.38,-1.348,0
Oc1cc2CCc3c(N(c2cc1)CCC[NH2+]C)cccc3,C[NH2+]CCCN1C2=C(CCC3=C1C=CC(=C3)O)C=CC=C2,0.53,40.08,3.565,1
FC=1C(=O)N(N(C)C=1C)c1ccccc1,CN1N(C2=CC=CC=C2)C(=O)C(=C1C)F,-0.05,23.55,1.583,0
Clc1cc2c(-n3c(nnc3C)[C@H](O)N=C2c2ccccc2)cc1,CC1=NN=C2C(O)N=C(C3=CC=CC=C3)C4=CC(=CC=C4[N]12)Cl,-1.48,63.3,3.504,0
Clc1cc2c(-n3c(cnc3C)[C@@H](O)N=C2c2ccccc2F)cc1,CC1=NC=C2C(O)N=C(C3=CC=CC=C3F)C4=CC(=CC=C4[N]12)Cl,-0.097,50.41,3.646,0
Ic1ccc(cc1C[NH+]1CCCCC1)C[NH+]1CCCCC1,IC1=CC=C(C[NH+]2CCCCC2)C=C1C[NH+]3CCCCC3,0.98,8.88,5.177,2
IC=1C(=O)N(N(C)C=1C)c1ccccc1,CN1N(C2=CC=CC=C2)C(=O)C(=C1C)I,-0.1,23.55,2.62,0
Ic1ccc(N[C@@H](CC)C)cc1N[C@H](CC)C,CCC(C)NC1=CC=C(I)C(=C1)NC(C)CC,0.64,24.06,5.259,0
O=C1NC(=O)NC(=O)C1(CCCC)CC,CCCCC1(CC)C(=O)NC(=O)NC1=O,0.189,75.27,1.769,0
O=C1NC(=O)NC(=O)C1(CCCCCCC)CC,CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.019,75.27,3.095,0
O=C1NC(=O)NC(=O)C1(CCCCCC)CC,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.362,75.27,2.653,0
O=C1NC(=O)NC(=O)C1(CC)C,CCC1(C)C(=O)NC(=O)NC1=O,-0.001,75.27,0.443,0
O=C1NC(=O)NC(=O)C1(CCCCCCCC)CC,CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.241,75.27,3.537,0
O=C1NC(=O)NC(=O)C1(CCCCC)CC,CCCCCC1(CC)C(=O)NC(=O)NC1=O,0.088,75.27,2.211,0
O=C1NC(=O)NC(=O)C1(CCC)CC,CCCC1(CC)C(=O)NC(=O)NC1=O,0.088,75.27,1.327,0
Fc1cc2onc(c2cc1)C1CC[NH+](CC1)CCC=1C(=O)N2C[C@H](O)CCC2=NC=1C,CC1=C(CC[NH+]2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)C(=O)N5CC(O)CCC5=N1,-0.67,83.37,1.781,1
O(C[C@H](O)C[NH2+]C(C)C)c1ccc(NC(=O)CCC)cc1C(=O)C,CCCC(=O)NC1=CC(=C(OCC(O)C[NH2+]C(C)C)C=C1)C(C)=O,-0.15,92.24,1.797,1
Oc1ccc(NC(=O)C)cc1,CC(=O)NC1=CC=C(O)C=C1,-0.463,49.33,0.889,0
N#CC=C,C=CC#N,-0.4,23.79,0.44,0
O=C1NC(=Nc2n(cnc12)COCCO)N,NC1=NC2=C(N=C[N]2COCCO)C(=O)N1,-0.836,114.76,-1.599,0
S(c1ccc(cc1N)CCF)c1ccccc1N(C)C,CN(C)C1=C(SC2=CC=C(CCF)C=C2N)C=CC=C1,0.549,29.26,3.803,0
F[C@@H]1C[C@H](O[C@H]1CO)N1C=C(C)C(=O)NC1=O,CC1=CN(C2CC(F)C(CO)O2)C(=O)NC1=O,-0.59,78.87,-0.98,0
[O-][n+]1ccc(cc1)\C=[N+](\[O-])/C(C)(C)C,CC(C)(C)[N+](/[O-])=C\C1=CC=[N+]([O-])C=C1,-0.38,54.21,2.38,0
Clc1cc2c(-n3c(nnc3CO)CN=C2c2ccccc2)cc1,OCC1=NN=C2CN=C(C3=CC=CC=C3)C4=CC(=CC=C4[N]12)Cl,-1.27,63.3,3.18,0
Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C(C=CC(=C4)Cl)[N]12,0.019,43.07,4,0
O(C[C@H](O)C[NH2+]C(C)C)c1ccccc1CC=C,CC(C)[NH2+]CC(O)COC1=C(CC=C)C=CC=C1,-0.23,46.07,2.621,1
O=C1N(N(C)C(C)=C1N(C)C)c1ccccc1,CN(C)C1=C(C)N(C)N(C2=CC=CC=C2)C1=O,0,26.79,1.345,0
O=C1NC(=O)NC(=O)C1(CCC(C)C)CC,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0.04,75.27,2.127,0
