SMILES,TPSA,ALOGP,XLOGP,MannholdLogP,n_acid,n_base,n_acid+n_base,TPSA_CDK,MolLogP,NumHDonors,NumHAcceptors,NumHDonors+NumHAcceptors
[O-][N+](=O)C1=NC=CN1CCCF,58.74,0.7201000000000002,1.3159999999999998,1.46,0,0,0,60.96,1.1508999999999998,0,4,4
[O-][N+](=O)C1=NC=CN1CCCCCCCCF,58.74,-0.7199000000000004,3.528,2.01,0,0,0,60.96,3.1014000000000017,0,4,4
C1CNC2=C(C1)C=CC=C2,12.03,0.12659999999999888,1.157,2.3400000000000003,0,0,0,12.03,2.0446999999999997,1,1,2
CC12CCC3C(CCC4=CC(O)=CC=C34)C1CC(F)C2O,40.46,1.1567999999999992,3.615999999999999,3.11,0,0,0,40.46,3.557200000000003,2,2,4
CCCCCC[NH+]1CCN(CC1)C1=CC=C(I)C=C1,7.680000000000001,-1.234299999999998,4.465,2.8899999999999997,0,3,3,7.680000000000001,2.5764000000000005,1,1,2
OCC1=NC=C2CN=C(C3=CC=CC=C3F)C3=CC(Cl)=CC=C3N12,48.190000000000005,-0.26470000000000027,0.7979999999999997,2.78,0,0,0,50.410000000000004,3.5081000000000024,1,4,5
CCC(C)[NH+]1CCN(CC1)C1=CC=C(I)C=C1,7.680000000000001,-0.38099999999999923,3.218000000000001,2.67,0,3,3,7.680000000000001,1.7946000000000002,1,1,2
NC1=NC(=O)N(C=C1)C1CC(CO)C(CO)O1,108.38000000000001,-2.9629000000000008,-1.826,1.79,0,0,0,110.60000000000001,-1.2862000000000002,3,7,10
C[NH2+]CCCN1C2=C(CCC3=C1C=CC(O)=C3)C=CC=C2,40.08,-0.5095000000000001,2.1810000000000005,3.11,0,2,2,40.08,2.2122,2,2,4
CN1N(C(=O)C(F)=C1C)C1=CC=CC=C1,23.55,0.8075999999999999,0.767,2.23,0,0,0,26.93,1.6235199999999999,0,3,3
CC1=NN=C2C(O)N=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,60.550000000000004,1.4771999999999994,2.8670000000000004,2.67,0,0,0,63.300000000000004,3.0710200000000016,1,5,6
CC1=NC=C2C(O)N=C(C3=CC=CC=C3F)C3=CC(Cl)=CC=C3N12,48.190000000000005,-0.2633000000000004,1.4740000000000002,2.78,0,0,0,50.410000000000004,3.815120000000002,1,4,5
IC1=CC=C(CN2CCCCC2)C=C1C[NH+]1CCCCC1,7.680000000000001,-1.7944000000000035,2.8200000000000007,3.11,0,4,4,7.680000000000001,2.8459000000000003,1,1,2
CN1N(C(=O)C(I)=C1C)C1=CC=CC=C1,23.55,1.1803,1.674,2.23,0,0,0,26.93,2.08902,0,3,3
CCC(C)NC1=CC=C(I)C(NC(C)CC)=C1,24.06,-0.5201000000000006,4.263,2.67,0,0,0,24.06,4.712000000000003,2,2,4
CCCCC1(CC)C(=O)NC(=O)NC1=O,75.27000000000001,-1.3998999999999997,1.5709999999999995,2.01,0,0,0,75.27000000000001,0.9389999999999998,2,3,5
CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,75.27000000000001,-2.2638999999999987,3.277999999999999,2.34,0,0,0,75.27000000000001,2.1092999999999997,2,3,5
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,75.27000000000001,-1.9758999999999998,2.708999999999999,2.2300000000000004,0,0,0,75.27000000000001,1.7191999999999998,2,3,5
CCC1(C)C(=O)NC(=O)NC1=O,75.27000000000001,-0.29559999999999975,-0.136,1.68,0,0,0,75.27000000000001,-0.23129999999999995,2,3,5
CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,75.27000000000001,-2.5519,3.8469999999999978,2.45,0,0,0,75.27000000000001,2.4993999999999996,2,3,5
CCCCCC1(CC)C(=O)NC(=O)NC1=O,75.27000000000001,-1.6878999999999995,2.1399999999999997,2.12,0,0,0,75.27000000000001,1.3291,2,3,5
CCCC1(CC)C(=O)NC(=O)NC1=O,75.27000000000001,-1.1119,1.0019999999999996,1.9000000000000001,0,0,0,75.27000000000001,0.5489,2,3,5
CC1=C(CC[NH+]2CCC(CC2)C2=NOC3=CC(F)=CC=C23)C(=O)N2CC(O)CCC2=N1,78.93,-2.550600000000004,0.39900000000000013,3.11,0,3,3,85.59,1.1441199999999996,2,6,8
CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)C[NH2+]C(C)C)C=C1,92.24000000000001,-2.809700000000002,1.189,2.78,0,2,2,92.24000000000001,1.3393000000000002,3,4,7
CC(=O)NC1=CC=C(O)C=C1,49.33,-0.23140000000000055,0.314,2.01,0,0,0,49.33,1.3505999999999998,2,2,4
C=CC#N,23.79,0.6355000000000001,0.3200000000000002,1.68,0,0,0,23.79,0.6959799999999999,0,1,1
NC1=NC2=C(N=CN2COCCO)C(=O)N1,112.53999999999999,-1.6938999999999997,-1.6500000000000001,1.46,0,0,0,119.04999999999998,-1.3318000000000003,3,7,10
CN(C)C1=C(SC2=CC=C(CCF)C=C2N)C=CC=C1,54.56,1.6294000000000002,2.3960000000000004,2.78,0,0,0,29.259999999999998,3.998000000000002,1,3,4
